Stimulus,MorphLevel,true_ctrl_score,true_asd_score,delta_behavior_signed_ctrl_minus_asd,delta_behavior_abs,clip_pred_delta_abs,is_clip_selected_top20pct
39,80,0.8604651162790697,0.8780487804878049,-0.01758366420873514,0.01758366420873514,0.03647361548104511,False
40,100,0.1395348837209302,0.275,-0.13546511627906982,0.13546511627906982,0.02362387678407618,False
41,100,0.2954545454545454,0.25,0.045454545454545414,0.045454545454545414,0.05665941444139411,False
42,80,0.2325581395348837,0.175,0.0575581395348837,0.0575581395348837,0.0628123492896917,False
43,60,0.1136363636363636,0.1842105263157894,-0.0705741626794258,0.0705741626794258,0.05917404480339172,False
44,40,0.0697674418604651,0.2564102564102564,-0.18664281454979129,0.18664281454979129,0.08257572792993761,True
45,20,0.238095238095238,0.25,-0.011904761904762001,0.011904761904762001,0.02551767915229175,False
46,100,0.6222222222222222,0.6,0.022222222222222254,0.022222222222222254,0.017088913121942717,False
47,80,0.4883720930232558,0.65,-0.16162790697674423,0.16162790697674423,0.0031623339910734627,False
48,60,0.2045454545454545,0.625,-0.4204545454545455,0.4204545454545455,0.005923877292386193,False
49,40,0.1395348837209302,0.4102564102564102,-0.27072152653548,0.27072152653548,0.002206993879807495,False
50,20,0.1555555555555555,0.225,-0.0694444444444445,0.0694444444444445,0.07883774404197619,True
51,100,0.4186046511627907,0.3076923076923077,0.11091234347048301,0.11091234347048301,0.15033610338189762,True
52,80,0.5909090909090909,0.35,0.24090909090909096,0.24090909090909096,0.13014143102205822,True
53,60,0.2619047619047619,0.25,0.011904761904761918,0.011904761904761918,0.11588683457836046,True
54,40,0.1818181818181818,0.225,-0.04318181818181821,0.04318181818181821,0.0794083980715019,True
55,20,0.1555555555555555,0.1463414634146341,0.009214092140921393,0.009214092140921393,0.07351444776965732,False
56,100,0.2888888888888888,0.2564102564102564,0.03247863247863242,0.03247863247863242,0.007825443284636191,False
57,80,0.2093023255813953,0.25,-0.040697674418604696,0.040697674418604696,0.007116203997511672,False
58,60,0.0930232558139534,0.0769230769230769,0.016100178890876504,0.016100178890876504,0.0020444084346986635,False
59,40,0.0909090909090909,0.1,-0.009090909090909108,0.009090909090909108,0.020823331937899647,False
60,20,0.1818181818181818,0.282051282051282,-0.1002331002331002,0.1002331002331002,0.022577249535698812,False
61,100,0.3409090909090909,0.275,0.06590909090909086,0.06590909090909086,0.018396373198317717,False
62,80,0.3409090909090909,0.3,0.040909090909090895,0.040909090909090895,0.0027333233769961107,False
63,60,0.3023255813953488,0.1578947368421052,0.14443084455324362,0.14443084455324362,0.011453666953974317,False
64,40,0.25,0.175,0.07500000000000001,0.07500000000000001,0.0017692565899182777,False
65,20,0.25,0.3846153846153846,-0.13461538461538458,0.13461538461538458,0.1108746403454211,True
66,100,0.2954545454545454,0.325,-0.029545454545454597,0.029545454545454597,0.0039475885156818324,False
67,80,0.3111111111111111,0.3076923076923077,0.0034188034188034067,0.0034188034188034067,0.003911950525248509,False
68,60,0.1818181818181818,0.2051282051282051,-0.023310023310023298,0.023310023310023298,0.08030745556028906,True
69,40,0.1818181818181818,0.3333333333333333,-0.15151515151515152,0.15151515151515152,0.1359383378005687,True
70,20,0.0930232558139534,0.125,-0.031976744186046596,0.031976744186046596,0.0660182974545496,False
71,100,0.2790697674418604,0.325,-0.045930232558139605,0.045930232558139605,0.07042283461197985,False
72,80,0.2954545454545454,0.2307692307692307,0.06468531468531472,0.06468531468531472,0.05997202796855061,False
73,60,0.1590909090909091,0.125,0.03409090909090909,0.03409090909090909,0.03745237401081358,False
74,40,0.1136363636363636,0.125,-0.011363636363636395,0.011363636363636395,0.022706606519373285,False
75,20,0.0697674418604651,0.0512820512820512,0.018485390578413904,0.018485390578413904,0.04467336873669259,False
76,100,0.3863636363636363,0.2051282051282051,0.1812354312354312,0.1812354312354312,0.12325398992809522,True
77,80,0.1627906976744186,0.2,-0.03720930232558142,0.03720930232558142,0.07320288131999741,False
78,60,0.1363636363636363,0.1025641025641025,0.03379953379953379,0.03379953379953379,0.033058476798565495,False
79,40,0.0714285714285714,0.1538461538461538,-0.0824175824175824,0.0824175824175824,0.0007167862533319913,False
